1;08615388621;;FR928823997113VFSH2TMIYKZ14;FR928823997113VFSH2TMIYKZ14;;false
2;673-153-190-66;1268 5180 190;FR261057211231KXH4NJZUIAZ71;FR928823997113VFSH2TMIYKZ14;FR261057211231KXH4NJZUIAZ71;false
3;;;FR4771544530037RCPDI8V3SN82;FR928823997113VFSH2TMIYKZ14;;false
4;73438511176;14772057553;FR446560196626A1CTG7L9UO616;;;false
5;50943780758;;;AE647010356005289606255;MC327390255186DHXQMA853CU93;false
6;;;FR566486582621GAKXB4Q77G755;;;false
7;13659540612;;FR06048643174554BB7U17YMG67;MC327390255186DHXQMA853CU93;AD1202922042FMACKGHDUV04;false
8;;;;FR901278850044PFZC19SAQ9B43;;false
9;724//86040415;750942879//07;FR06048643174554BB7U17YMG67;AE099479927588855310072;MC7707141468259TN1YCIKND505;false
10;843--91613148;12685--180190;FR06048643174554BB7U17YMG67;;;false
11;13659540612;46974668417;FR06048643174554BB7U17YMG67;;AE099479927588855310072;false
12;;44679046615;CZ9575329011241058252520;MC327390255186DHXQMA853CU93;AD1202922042FMACKGHDUV04;false
13;;;DK9899738122684091;DO651BD175482749176221970065;EE539256824215611427;false
14;673/153/190/66;1268-5180-190;FR261057211231KXH4NJZUIAZ71;FR928823997113VFSH2TMIYKZ14;FR261057211231KXH4NJZUIAZ71;false
15;;;;FR261057211231KXH4NJZUIAZ71;;false
