0;Libellé 0;1000.00;2007-02-01;0
1;Libellé 1;1001.01;2007-02-02;0
2;Libellé 2;1002.00;2007-02-03;1
3;Libellé 3;1003.00;2007-02-04;1
4;Libellé 4;1004.00;2007-02-05;0
5;Libellé 5;1005.00;2007-02-06;0
6;Libellé 6;1006.00;2007-02-07;0
7;Libellé 7;1007.00;2007-02-08;1
8;Libellé 8;1008.00;2007-02-09;0
9;Libellé 9;1009.00;2007-02-10;1
10;Libellé 10;1010.00;2007-02-11;0
11;Libellé 11;1011.00;2007-02-12;0
12;Libellé 12;1012.00;2007-02-13;0
13;Libellé 13;1013.00;2007-02-14;1
14;Libellé 14;1014.00;2007-02-15;1
15;Libellé 15;1015.00;2007-02-16;0
16;Libellé 16;1016.00;2007-02-17;1
17;Libellé 17;1017.00;2007-02-18;0
18;Libellé 18;1018.00;2007-02-19;1
19;Libellé 19;1019.00;2007-02-20;1
20;Libellé 20;1020.20;2007-02-21;0
