0;Label 0;1000.00;2007-02-01;0
1;Label 1;1001.01;2007-02-02;0
2;Label 2;1002;2007-02-03;1
3;Label 3;1003;2007-02-04;1
4;Label 4;1004;2007-02-05;0
5;Label 5;1005;2007-02-06;0
6;Label 6;1006;2007-02-07;0
7;Label 7;1007;2007-02-08;1
8;Label 8;1008;2007-02-09;0
9;Label 9;1009;2007-02-10;1
10;Label 10;1010;2007-02-11;0
11;Label 11;1011;2007-02-12;0
12;Label 12;1012;2007-02-13;0
13;Label 13;1013;2007-02-14;1
14;Label 14;1014;2007-02-15;1
15;Label 15;1015;2007-02-16;0
16;Label 16;1016;2007-02-17;1
17;Label 17;1017;2007-02-18;0
18;Label 18;1018;2007-02-19;1
19;Label 19;1019;2007-02-20;1
20;Label 20;1020.20;2007-02-21;0
