1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
1;wangwei;27;12-09-1987 23:58:58
2;gaoyan;25;19-03-1985 23:57:57
