10206;a302;ff;female;beijing;55;a4;hg@er.com;5;;2;true;1.0;1.0;;
10206;a302;ff;female;beijing;5;a4;ni@you f.com;5;;0;false;1.0;0.0;stuProvinceID: 1.0;
10209;b203;ii;male;langfang;5;b2;hg@er.com;;;0;false;1.0;0.0;stuProvinceID: 1.0;
10777;b203;898;female;tang shan;15;a1;ji@as de.com;;;0;false;1.0;0.0;stuProvinceID: 1.0;
20608;b101;  HH   ;female;cangzhou;15;b1;bvqw;23;;0;false;1.0;0.0;stuAddress: 1.0;
206013;B301;mm;female;cangzhou;34;a1;aaaaa@gmail.com;;;0;false;1.0;0.0;stuAddress: 1.0;
1060666;b203;  HH   ;female;cangzhou,cangzhou;15151515;a1;ji@as de.com;23;;6;true;1.0;1.0;;
1060666;b203;op;female;tang Shans;15;a1;ji@as de.com;;;0;false;1.0;0.0;stuProvinceID: 1.0;
2060888;b203;;female;tangshan;15;a1;ji@as de.com;;;0;false;1.0;0.0;stuAddress: 1.0;
2060999;b203a;sfd;female;tangshan;15;a1;jj@qw.com;;;0;false;1.0;0.0;stuAddress: 1.0;
