1;Sheri Nowmer;Sheri;Sheri;Sheri Nowmer@organisation.fac;1;President;0;1;1961-08-26;1994-12-01 12:00:00;;80000.0;0;Graduate Degree;S;F;Senior Management;0;false;1.0;0.0
2;Derrick Whelply;Derrick;Derrick;Derrick Whelply@organisation.fac;2;VP Country Manager;0;1;1915-07-03;1994-12-01 12:00:00;;40000.0;1;Graduate Degree;M;M;Senior Management;0;false;1.0;0.0
2;Derrick Whelply;Derrick;Derrick;Derrick Whelply@organisation.fac;2;VP Country Manager;0;1;1915-07-03;1994-12-01 12:00:00;;40000.0;1;Graduate Degree;M;M;Senior Management;3;true;1.0;1.0
4;Michael Spence;Michael;Michael;Michael Spence@organisation.fac;2;VP Country Manager;0;1;1969-06-20;1998-01-01 12:00:00;;40000.0;1;Graduate Degree;S;M;Senior Management;0;false;1.0;0.0
5;Maya Gutierrez;Maya;Maya;Maya Gutierrez@organisation.fac;2;VP Country Manager;0;1;1951-05-10;1998-01-01 12:00:00;;35000.0;1;Bachelors Degree;M;F;Senior Management;0;false;1.0;0.0
6;Roberta Damstra;Roberta;Roberta;Roberta Damstra@organisation.fac;3;VP Information Systems;0;2;1942-10-08;1994-12-01 12:00:00;;25000.0;1;Bachelors Degree;M;F;Senior Management;0;false;1.0;0.0
6;Roberta Damstra;Roberta;Roberta;Roberta Damstra@organisation.fac;3;VP Information Systems;0;2;1942-10-08;1994-12-01 12:00:00;;25000.0;1;Bachelors Degree;M;F;Senior Management;3;true;1.0;1.0
7;Rebecca Kanagaki;Rebecca;Rebecca;Rebecca Kanagaki@organisation.fac;4;VP Human Resources;0;3;1949-03-27;1994-12-01 12:00:00;;15000.0;1;Bachelors Degree;M;F;Senior Management;0;false;1.0;0.0
8;Kim Brunner;Kim;Kim;;11;Store Manager;9;11;1922-08-10;1998-01-01 12:00:00;;10000.0;5;Bachelors Degree;S;F;Store Management;0;false;1.0;0.0
9;Brenda Blumberg;Brenda;Brenda;;11;Store Manager;21;11;1979-06-23;1998-01-01 12:00:00;;17000.0;5;Graduate Degree;M;F;Store Management;0;false;1.0;0.0
10;Darren Stanz;Darren;Darren;Darren Stanz@organisation.fac;5;VP Finance;0;5;1949-08-26;1994-12-01 12:00:00;;50000.0;1;Partial College;M;M;Senior Management;0;false;1.0;0.0
