30603;a201;7cc;male;qingdao;4;a2;hg@12.com;5;;0;false;1.0;0.0;stuAddress: 1.0;
30604;a202;d8d;male;qingdao;34;a2;bb@qw.com;2;;0;false;1.0;0.0;stuAddress: 1.0;
30607;a401;gg;female;tianjin;6;a4;yu@78;;;0;false;1.0;0.0;stuAddress: 1.0;
105012;b302;kk;male;   nan   chang   ;333;b2;io90@ert123.com;;;5;true;1.0;0.0;;
105012;  b301  ;kk;female;   nan   chang   ;3;b2;i022@qw.com;;;0;false;1.0;0.0;stuProvinceID: 1.0;
305011;b301;kk;female;nanchang;2;b3;yu67@123r.com;;;0;false;1.0;0.0;stuAddress: 1.0;
306015;a201;7cc;male;qingdao,qingdao,qingdao;11;a1;UI@ qw.com;2;;6;true;1.0;0.0;;
306015;b302;ii;female;qingdao;1;a1;abc@gmail.com;;;0;false;1.0;0.0;stuAddress: 1.0;
1050222;b302;YuJian gödel  Nihao ;male;chengde;3;b4;io90@ert123.com;;;0;false;1.0;0.0;stuProvinceID: 1.0;
3050100;b302;mm;male;nanchang;3;b3;io90@ert123.com;;;0;false;1.0;0.0;stuAddress: 1.0;
3050111;b302;kk;male;nanchang;3;b3;io90@ert123.com;;;0;false;1.0;0.0;stuAddress: 1.0;
3060333;b302;hh;male;tianjin;1;a1;io@we.com;;;0;false;1.0;0.0;stuAddress: 1.0;
3060555;b301;ww;male;tianjin;15;a2;UI@ qw.com;;;0;false;1.0;0.0;stuAddress: 1.0;
