1;86;7;18;418;48;10
2;56;3;77;10;91;10
1;1;8;51;770;47;10
2;73;9;23;895;348;10
1;28;6;84;22;340;10
2;92;2;25;18;377;10
1;17;6;5;730;134;10
2;21;11;93;337;262;10
1;57;1;13;51;854;10
2;69;7;69;667;444;10
2;63;12;13;694;94;10
1;46;9;24;888;628;10
2;9;1;32;858;630;10
1;68;5;40;396;80;10
1;26;9;20;479;922;10
1;59;4;83;603;220;10
2;87;11;39;812;329;10
2;71;6;6;697;126;10
1;31;9;58;63;198;10
2;3;2;71;766;424;10
2;78;11;31;463;425;10
2;61;10;25;725;527;10
2;35;11;21;624;976;10
2;55;11;76;892;885;10
2;45;1;12;837;556;10
2;93;2;66;692;244;10
1;87;11;14;140;321;10
1;74;4;30;670;249;10
2;47;7;36;786;533;10
2;34;4;46;71;448;10
