1;58542079127;;FR6247255575741L4MSRRNI8665;FR6247255575741L4MSRRNI8665;;false
2;373-582-674-70;4444 0209 336;FR087422722827BAHSTJ4TWE849;FR6247255575741L4MSRRNI8665;FR087422722827BAHSTJ4TWE849;false
3;;;FR497959127316KD2Z454ML1G77;FR6247255575741L4MSRRNI8665;;false
4;56122349731;63674592583;FR069865883899CSJAIDZBUJ434;;;false
5;88092861172;;;AE080745671399839991953;MC140001341807HSTJOD5E1TT67;false
6;;;FR679073468583O1O2LKM6H5M54;;;false
7;49522906916;;FR608963639287EWRUV2QG4V692;MC140001341807HSTJOD5E1TT67;AD5119906286BAZUOW3LNPCS;false
8;;;;FR5667057600041570BGZMT9268;;false
9;201//33363028;763512477//76;FR608963639287EWRUV2QG4V692;AE782930106002798722211;MC199026769770ALWOJRYBCEO72;false
10;367--71944849;44440--209336;FR608963639287EWRUV2QG4V692;;;false
11;49522906916;04431832270;FR608963639287EWRUV2QG4V692;;AE782930106002798722211;false
12;;92475597098;CZ4052272037646054780249;MC140001341807HSTJOD5E1TT67;AD5119906286BAZUOW3LNPCS;false
13;;;DK4279155467636272;DO72UCS449526227863392486507;EE945754473733775298;false
14;373/582/674/70;4444-0209-336;FR087422722827BAHSTJ4TWE849;FR6247255575741L4MSRRNI8665;FR087422722827BAHSTJ4TWE849;false
15;;;;FR087422722827BAHSTJ4TWE849;;false
