1;Walter Cavestany;Issaquah;1222;true;0;false;1.0;0.0
2;Peggy Planck;Lincoln Acres;11;false;0;false;1.0;0.0
3;Beverly Baker;Burbank;110;false;0;false;1.0;0.0
4;Brenda Marshall;Issaquah;1222;true;2;true;1.0;1.0
4;Brenda Marshall;Issaquah;12;false;0;false;1.0;0.0
5;Beverly Baker;Burbank;110;true;2;true;1.0;1.0
5;Beverly Baker;Burbank;11;true;0;false;1.0;0.0
6;Peggy Planck;Lincoln Acres;11;true;2;true;1.0;1.0
6;Peggy Planck;Lincoln Acres;2;true;0;false;1.0;0.0
7;Jonathan Murraiin;Spring Valley;3311;false;1;true;1.0;1.0
8;Roberta Blumberg;Anacortes;44;false;1;true;1.0;1.0
