1;AD;24;AD07 7864 2796 36S4 64C3 03XQ;false
1;AD;24;AD85 3933 0808 97C9 JZPM 88A1;false
2;AE;23;AE33 7864 2796 3664 6483 037;false
1;AD;24;AD89 0361 6104 RU6C YRB1 6746;false
3;AL;28;AL17 7864 2796 36S4 64C3 03XQ S06O;false
4;AT;20;AT60 7864 2796 3664 6483;false
5;AZ;28;AZ86 ZYIO C796 36S4 64C3 03XQ S06O;false
6;BA;20;BA39 7864 2796 3664 6464;false
7;BE;16;BE80 7864 2796 3677;false
8;BG;22;BG77 ZYIO 2796 36S4 64C3 03;false
9;BH;22;BH75 ZYIO C796 36S4 64C3 03;false
10;BR;29;BR82 7864 2796 3664 6483 0370 806O B;false
11;BY;28;BY12 786O 2796 36S4 64C3 03XQ S06O;false
12;CH;21;CH54 7864 2796 36S4 64C3 0;false
10;BR;29;BR38 8089 7893 1328 8611 7120 361A H;false
13;CR;22;CR51 7864 2796 3664 6483 03;false
14;CY;28;CY57 7864 2796 36S4 64C3 03XQ S06O;false
15;CZ;24;CZ75 7864 2796 3864 6483 0376;false
16;DE;22;DE81 7864 2796 3664 6483 03;false
17;DK;18;DK03 7864 2796 3664 64;false
18;DO;28;DO57 786O 2796 3664 6483 0370 8064;false
19;EE;20;EE15 7864 2796 3664 6485;false
20;EG;29;EG82 7864 2796 3664 6483 0370 8064 3;false
21;ES;24;ES59 7864 2796 5564 6483 0370;false
22;FI;18;FI88 7864 2796 3664 64;false
23;FO;18;FO70 7864 2796 3664 64;false
24;FR;27;FR76 7864 2796 36S4 64C3 03XQ S58;false
25;GB;22;GB72 ZYIO 2796 3664 6483 03;false
26;GE;22;GE81 ZY64 2796 3664 6483 03;false
27;GI;23;GI69 ZYIO C796 36S4 64C3 03X;false
28;GL;18;GL70 7864 2796 3664 64;false
29;GR;27;GR16 7864 2796 36S4 64C3 03XQ S06;false
30;GT;28;GT54 786O C796 36S4 64C3 03XQ S06O;false
31;HR;21;HR25 7864 2736 3664 6483 9;false
32;HU;28;HU19 7864 2795 3664 6483 0370 8068;false
33;IE;22;IE45 ZYIO 2796 3664 6483 03;false
34;IL;23;IL37 7864 2796 3664 6483 037;false
35;IQ;23;IQ15 ZYIO 2796 3664 6483 037;false
36;IS;26;IS90 7864 2796 3664 6483 0370 80;false
37;IT;27;IT59 N864 2796 3664 64C3 03XQ S06;false
38;JO;30;JO02 ZYIO 2796 36S4 64C3 03XQ S06O BH;false
39;KW;30;KW22 ZYIO C796 36S4 64C3 03XQ S06O BH;false
40;KZ;20;KZ79 786O C796 36S4 64C3;false
41;LB;28;LB21 7864 C796 36S4 64C3 03XQ S06O;false
42;LC;32;LC67 ZYIO C796 36S4 64C3 03XQ S06O BH33;false
43;LI;21;LI67 7864 2796 36S4 64C3 0;false
44;LT;20;LT58 7864 2796 3664 6483;false
45;LU;20;LU85 786O C796 36S4 64C3;false
46;LV;21;LV89 ZYIO C796 36S4 64C3 0;false
47;MC;27;MC58 7864 2796 36S4 64C3 03XQ S58;false
48;md;24;MD29 786O C796 36S4 64C3 03XQ;false
49;ME;22;ME25 7864 2796 3664 6483 38;false
50;MK;19;MK76 786O C796 36S4 648;false
51;MR;27;MR13 7864 2796 3664 6483 0370 863;false
52;MT;31;MT38 ZYIO 2796 36S4 64C3 03XQ S06O BH3;false
53;MU;30;MU82 ZYIO 2796 3664 6483 0370 806O BH;false
54;NL;18;NL08 ZYIO 2796 3664 64;false
55;NO;15;NO94 7864 2796 363;false
56;PK;24;PK06 ZYIO C796 36S4 64C3 03XQ;false
57;PL;28;PL57 7864 2796 3664 6483 0370 8064;false
58;PS;29;PS41 ZYIO C796 36S4 64C3 03XQ S06O B;false
59;PT;25;PT50 7864 2796 3664 6483 0373 0;false
60;QA;29;QA86 ZYIO C796 36S4 64C3 03XQ S06O B;false
61;RO;24;RO73 ZYIO C796 36S4 64C3 03XQ;false
62;RS;22;RS35 7864 2796 3664 6483 38;false
63;SA;24;SA81 786O C796 36S4 64C3 03XQ;false
64;SC;31;SC05 ZYIO 2796 3664 6483 0370 8064 BHV;false
65;SE;24;SE86 7864 2796 3664 6483 0370;false
66;SI;19;SI56 7864 2796 3664 657;false
67;SK;24;SK73 7864 2796 3864 6483 0376;false
68;SM;27;SM87 N864 2796 3664 64C3 03XQ S06;false
69;ST;25;ST35 7864 2796 3664 6483 0370 8;false
70;SV;28;SV49 ZYIO 2796 3664 6483 0370 8064;false
71;TL;23;TL38 7864 2796 3664 6483 080;false
72;TN;24;TN59 7864 2796 3664 6483 0305;false
73;TR;26;TR29 7864 2796 36S4 64C3 03XQ S0;false
77;XK;20;XK74 7864 2796 3664 6483;false
74;UA;29;UA08 7864 2796 36S4 64C3 03XQ S06O B;false
75;VA;22;VA28 7864 2796 3664 6483 03;false
76;VG;24;VG80 ZYIO 2796 3664 6483 0370;false
77;XK;20;XK49 8064 3933 0808 9789;false
77;XK;20;XK29 8861 1712 0361 6104;false
77;XK;20;XK73 8371 6746 9904 2644;false
